Year,Name,Population,Total_Revenue,Total_Taxes,Tobacco_Tax,Alcoholic_Beverage_Tax,Motor_Fuels_Tax,Region
2012,NEBRASKA,1826341,9815109,4366617,67585,28472,299764,NorthCentral
2012,NEVADA,2700551,14317867,6775112,102644,41695,291400,West
2012,NEW HAMPSHIRE,1316470,7153139,2208201,215161,9723,143794,Northeast
2012,NEW JERSEY,8791894,57582037,27456175,792066,135304,539714,Northeast
2012,NEW MEXICO,2059179,15195673,5093142,74987,41004,236015,West
2012,NEW YORK,19378102,179604728,71545745,1631995,238932,1604727,Northeast
2012,NORTH CAROLINA,9535483,56470410,22713357,294754,322970,1861838,South
2012,NORTH DAKOTA,672591,9246488,5620036,28240,8463,204573,NorthCentral
2012,OHIO,11536504,72470829,25929094,843180,98113,1684209,NorthCentral
2012,OKLAHOMA,3751351,23263425,8839299,292973,103831,444636,South
2012,OREGON,3831074,25059234,8699626,255652,17322,533420,West
2012,PENNSYLVANIA,12702379,78467061,32949917,1118961,324024,2073677,Northeast
2012,RHODE ISLAND,1052567,7946561,2827503,131066,12840,117983,Northeast
2012,SOUTH CAROLINA,4625364,26106015,8036482,26247,153951,531615,South
2012,SOUTH DAKOTA,814180,4351161,1521477,60372,15449,136431,NorthCentral
2012,TENNESSEE,6346105,30803108,11982345,279017,133055,837787,South
2012,TEXAS,25145561,130719986,48596548,1469712,937614,3178419,South
2012,UTAH,2763885,15600624,5809953,123988,45823,372212,West
2012,VERMONT,625741,6348888,2757370,80230,22403,108177,Northeast
2012,VIRGINIA,8001024,43137517,18144897,192441,198107,866243,South
2012,WASHINGTON,6724540,40665155,17624715,470765,349164,1177987,West
2012,WEST VIRGINIA,1852994,13247295,5285773,109618,17204,387040,South
2012,WISCONSIN,5686986,35880592,15995335,653275,56278,985001,NorthCentral
2012,WYOMING,563626,6845489,2550991,25984,1742,66443,West
