"","stopid","agency","purpose","race","gender","searchoccur","year","officerid","age","month","day","InFigure3","Berry"
"86",1424847,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19721506,31,1,5,TRUE,5.2
"100",1424904,"Raleigh Police Department","Investigation","White","Male",1,2002,19766501,26,1,7,TRUE,6.1
"102",1424916,"Raleigh Police Department","Investigation","Black","Male",1,2002,19776330,24,1,7,TRUE,16.5
"249",1425389,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19722042,24,1,10,TRUE,1.2
"307",1425593,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19670128,36,1,10,TRUE,9.3
"308",1425596,"Raleigh Police Department","Investigation","White","Male",1,2002,19703197,21,1,11,TRUE,17.4
"333",1425670,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19735614,35,1,11,FALSE,11.8
"357",1425728,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19741754,37,1,11,TRUE,9.3
"377",1425785,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19776330,19,1,11,TRUE,18.8
"393",1425861,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19729159,29,1,12,FALSE,7.3
"403",1425899,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19684688,24,1,12,TRUE,11.8
"406",1425910,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19776330,20,1,13,TRUE,13
"420",1425941,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19729159,35,1,13,FALSE,16.3
"432",1426002,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19778104,27,1,14,TRUE,10.1
"437",1426017,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19710561,29,1,14,FALSE,5.8
"545",1426364,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19660126,35,1,16,FALSE,13.8
"615",1426608,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19670128,19,1,19,TRUE,4.6
"622",1426628,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19730396,18,1,19,TRUE,10
"627",1426648,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19684688,28,1,19,TRUE,10.3
"674",1426799,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19722042,33,1,20,TRUE,23.9
"677",1426805,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19730396,18,1,21,TRUE,13.9
"710",1426919,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19760015,44,1,21,FALSE,15.8
"733",1426966,"Raleigh Police Department","Vehicle Regulatory","White","Female",1,2002,19721506,26,1,22,TRUE,4.1
"737",1426973,"Raleigh Police Department","Investigation","Black","Male",1,2002,19745114,22,1,22,FALSE,16.6
"823",1427234,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19734155,29,1,24,TRUE,21.2
"833",1427256,"Raleigh Police Department","Driving Impaired","Black","Male",1,2002,19766501,22,1,24,TRUE,13.4
"894",1427359,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19706218,29,1,25,FALSE,0.8
"898",1427364,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19721506,24,1,25,TRUE,3.1
"899",1427365,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19731439,49,1,25,TRUE,0
"918",1427464,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19731935,22,1,26,TRUE,9
"935",1427567,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19670128,25,1,26,TRUE,6.2
"953",1427650,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19743851,27,1,27,FALSE,11
"955",1427655,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19703197,36,1,27,TRUE,24.4
"1020",1427870,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19776330,21,1,29,TRUE,17.2
"1074",1428023,"Raleigh Police Department","Investigation","White","Male",1,2002,19766282,25,1,29,TRUE,9.7
"1078",1428031,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19766282,27,1,30,TRUE,24.2
"1142",1428185,"Raleigh Police Department","Investigation","Black","Male",1,2002,19746415,19,1,30,TRUE,21.9
"1175",1495645,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19746415,43,2,1,TRUE,15.6
"1186",1495703,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19729159,29,2,1,FALSE,13.5
"1200",1495756,"Raleigh Police Department","Stop Light/Sign","White","Female",1,2002,19692424,26,2,1,TRUE,7
"1201",1495757,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19660950,20,2,1,FALSE,21.2
"1210",1495783,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19721506,21,2,2,TRUE,5.2
"1241",1495908,"Raleigh Police Department","Driving Impaired","Black","Male",1,2002,19734155,57,2,3,TRUE,12.3
"1347",1496224,"Raleigh Police Department","Safe Movement","White","Male",1,2002,19684688,18,2,5,TRUE,10.7
"1361",1496272,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19670128,22,2,6,TRUE,20.3
"1416",1496489,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19714226,33,2,7,TRUE,3.5
"1448",1496592,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19698559,27,2,7,FALSE,14.4
"1455",1496615,"Raleigh Police Department","Stop Light/Sign","White","Female",1,2002,19670128,25,2,8,TRUE,2.9
"1501",1496734,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19731439,45,2,8,TRUE,18.2
"1521",1496787,"Raleigh Police Department","Investigation","White","Male",1,2002,19684688,42,2,9,TRUE,21.8
"1524",1496792,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19684688,22,2,9,TRUE,19.1
"1558",1496900,"Raleigh Police Department","Investigation","White","Male",1,2002,19740760,39,2,10,FALSE,21.9
"1582",1496984,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19766282,23,2,10,TRUE,7.5
"1589",1497002,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19684688,40,2,11,TRUE,21
"1612",1497055,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19660950,25,2,11,FALSE,20.3
"1614",1497060,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19715128,22,2,11,TRUE,20.3
"1672",1497183,"Raleigh Police Department","Investigation","Black","Male",1,2002,19737843,37,2,12,FALSE,14.7
"1695",1497240,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19797672,29,2,12,FALSE,15.8
"1740",1497392,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19703795,31,2,13,TRUE,3.7
"1742",1497395,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19703795,31,2,13,TRUE,3.6
"1783",1497567,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19766282,23,2,14,TRUE,4
"1789",1497611,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19775679,51,2,14,TRUE,16.5
"1790",1497614,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19737843,19,2,15,FALSE,18.4
"1794",1497626,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19660126,21,2,15,FALSE,24.2
"1830",1497694,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19706367,19,2,15,FALSE,8.7
"1858",1497767,"Raleigh Police Department","Investigation","Black","Female",1,2002,19697097,21,2,16,TRUE,9.5
"1862",1497772,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19757479,25,2,16,TRUE,6
"1913",1497926,"Raleigh Police Department","Seat Belt","White","Female",1,2002,19703197,21,2,17,TRUE,8.8
"1934",1497992,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19778104,36,2,17,TRUE,22.7
"1941",1498016,"Raleigh Police Department","Investigation","Black","Male",1,2002,19722042,36,2,17,TRUE,0.7
"1949",1498043,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19797672,23,2,18,FALSE,3
"1963",1498125,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19646072,33,2,18,FALSE,0.9
"2021",1498421,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19729159,18,2,19,FALSE,23.8
"2028",1498441,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19734155,42,2,19,TRUE,12.6
"2033",1498455,"Raleigh Police Department","Other Vehicle","Black","Female",1,2002,19721506,21,2,20,TRUE,14.5
"2084",1498618,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19791890,21,2,20,TRUE,5.3
"2090",1498645,"Raleigh Police Department","Investigation","Black","Male",1,2002,19731439,19,2,20,TRUE,24.1
"2106",1498695,"Raleigh Police Department","Investigation","Black","Female",1,2002,19729159,20,2,21,FALSE,11.8
"2137",1498843,"Raleigh Police Department","Vehicle Regulatory","White","Female",1,2002,19743851,21,2,21,FALSE,6
"2142",1498878,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19731439,33,2,21,TRUE,12.1
"2149",1498911,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19767184,32,2,21,FALSE,18
"2179",1499033,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19552992,20,2,23,FALSE,16.5
"2182",1499038,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19670128,25,2,23,TRUE,4.2
"2212",1499163,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19715128,54,2,24,TRUE,1.3
"2231",1499225,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19731935,22,2,25,TRUE,5.8
"2312",1499449,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19746415,55,2,25,TRUE,16.8
"2381",1499633,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19692424,21,2,26,TRUE,10.9
"2456",1499812,"Raleigh Police Department","Investigation","Black","Male",1,2002,19746415,58,2,27,TRUE,11.2
"2471",1499889,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19776330,22,2,28,TRUE,17.6
"2481",1499902,"Raleigh Police Department","Speed Limit","Black","Female",1,2002,19706367,27,2,28,FALSE,12
"2518",1622906,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19754956,45,3,1,TRUE,3.3
"2538",1622974,"Raleigh Police Department","Stop Light/Sign","Black","Female",1,2002,19706218,25,3,2,FALSE,9.8
"2543",1622981,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19721506,44,3,2,TRUE,15.4
"2563",1623065,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19735279,25,3,3,TRUE,3.6
"2581",1623125,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19692424,20,3,3,TRUE,14.9
"2646",1623320,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19714226,34,3,5,TRUE,18.9
"2666",1623392,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19671940,20,3,5,FALSE,13.8
"2689",1623506,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19670128,25,3,5,TRUE,0.5
"2741",1623676,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19632299,50,3,7,FALSE,4.2
"2748",1623695,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19714226,31,3,7,TRUE,22.7
"2812",1623863,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19714226,26,3,8,TRUE,20.2
"2826",1623972,"Raleigh Police Department","Investigation","Black","Male",1,2002,19780513,32,3,8,TRUE,5.1
"2828",1623980,"Raleigh Police Department","Investigation","Other","Male",1,2002,19684688,40,3,8,TRUE,13.6
"2835",1624006,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19728105,18,3,9,FALSE,12.2
"2850",1624073,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19745877,30,3,9,FALSE,13.4
"2852",1624082,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19766282,21,3,10,TRUE,2.8
"2860",1624106,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19776330,30,3,10,TRUE,10.1
"2876",1624158,"Raleigh Police Department","Investigation","White","Male",1,2002,19745877,30,3,10,FALSE,6
"2878",1624166,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19745877,23,3,10,FALSE,21.5
"2882",1624179,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19745877,20,3,11,FALSE,1.2
"2948",1624362,"Raleigh Police Department","Investigation","Black","Male",1,2002,19731935,47,3,12,TRUE,9.2
"2980",1624440,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19735614,25,3,13,FALSE,16
"2997",1624491,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19693587,28,3,14,FALSE,2.3
"3094",1624768,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19743851,35,3,16,FALSE,7.8
"3108",1624824,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19706188,56,3,16,TRUE,4.7
"3121",1624854,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19730396,25,3,17,TRUE,12.9
"3128",1624878,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19684688,39,3,17,TRUE,5
"3148",1624949,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19767184,31,3,17,FALSE,1.3
"3156",1624976,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19730396,24,3,18,TRUE,11.9
"3194",1625070,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19649891,42,3,18,FALSE,3.4
"3286",1625367,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19692424,23,3,20,TRUE,11.6
"3290",1625377,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19775679,31,3,20,TRUE,23.6
"3304",1625444,"Raleigh Police Department","Investigation","White","Male",1,2002,19766501,21,3,21,TRUE,15
"3315",1625507,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19706188,22,3,21,TRUE,14.3
"3327",1625549,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19732033,39,3,21,TRUE,24.1
"3356",1625667,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19775679,28,3,23,TRUE,6.1
"3458",1626047,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19746415,38,3,25,TRUE,5.9
"3494",1626156,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19660950,30,3,26,FALSE,17.1
"3540",1626258,"Raleigh Police Department","Safe Movement","White","Male",1,2002,19732033,22,3,26,TRUE,19.7
"3543",1626284,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19697097,25,3,26,TRUE,7.3
"3548",1626308,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19766282,24,3,27,TRUE,4.8
"3610",1626513,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19684688,38,3,27,TRUE,17.3
"3625",1626569,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19684688,33,3,28,TRUE,20.8
"3647",1626665,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19744972,23,3,28,FALSE,8.6
"3652",1626686,"Raleigh Police Department","Investigation","White","Male",1,2002,19745877,31,3,28,FALSE,3.9
"3683",1626809,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19721506,29,3,30,TRUE,17.2
"3704",1626876,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19723556,34,3,30,FALSE,21.2
"3719",1626926,"Raleigh Police Department","Investigation","White","Male",1,2002,19760015,36,3,31,FALSE,0.9
"3734",1626967,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19697522,30,3,31,FALSE,14
"3861",1725054,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19776330,24,4,3,TRUE,16.5
"3870",1725066,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19703591,28,4,3,FALSE,20.7
"3888",1725088,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19786618,42,4,3,TRUE,7.2
"3950",1725270,"Raleigh Police Department","Other Vehicle","Black","Female",1,2002,19732033,30,4,4,TRUE,11.7
"3954",1725281,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19687908,22,4,4,FALSE,22
"3972",1725323,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19714226,23,4,5,TRUE,3
"3981",1725347,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19790447,27,4,5,FALSE,5
"4007",1725433,"Raleigh Police Department","Driving Impaired","White","Female",1,2002,19689928,21,4,6,FALSE,14.3
"4010",1725440,"Raleigh Police Department","Safe Movement","White","Male",1,2002,19703591,32,4,6,FALSE,15
"4011",1725442,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19684688,37,4,6,TRUE,16.1
"4012",1725443,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19778104,22,4,6,TRUE,20.9
"4020",1725472,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19731439,20,4,6,TRUE,17.2
"4021",1725475,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19706218,26,4,6,FALSE,22.2
"4028",1725507,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19776330,27,4,6,TRUE,12
"4110",1725744,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19754956,33,4,8,TRUE,15.3
"4163",1725921,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19775679,33,4,9,TRUE,10
"4166",1725924,"Raleigh Police Department","Investigation","Black","Male",1,2002,19734155,32,4,9,TRUE,2.3
"4217",1726066,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19744972,18,4,10,FALSE,16
"4220",1726079,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19714226,20,4,10,TRUE,2.5
"4221",1726083,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19737843,24,4,10,FALSE,9.4
"4235",1726138,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19735614,21,4,11,FALSE,18.8
"4346",1726474,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19775634,36,4,13,TRUE,18.3
"4367",1726533,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19670128,24,4,13,TRUE,23.3
"4377",1726559,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19670128,37,4,13,TRUE,18.3
"4380",1726571,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19743851,26,4,14,FALSE,4.7
"4408",1726654,"Raleigh Police Department","Safe Movement","White","Male",1,2002,19714226,24,4,15,TRUE,21.9
"4517",1727011,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19731439,19,4,16,TRUE,20.5
"4588",1727239,"Raleigh Police Department","Vehicle Regulatory","Other","Male",1,2002,19706218,22,4,17,FALSE,16.9
"4705",1727657,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19693587,39,4,20,FALSE,1.1
"4708",1727674,"Raleigh Police Department","Driving Impaired","White","Female",1,2002,19798102,22,4,21,FALSE,15
"4785",1727917,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19786618,26,4,22,TRUE,1.9
"4787",1727920,"Raleigh Police Department","Investigation","Black","Male",1,2002,19740760,21,4,22,FALSE,17.6
"4868",1728165,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19684688,39,4,23,TRUE,0.7
"4870",1728175,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19766282,60,4,23,TRUE,9.9
"4919",1728377,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19703795,31,4,24,TRUE,19.7
"4934",1728422,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19684688,46,4,25,TRUE,3
"4937",1728444,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19775679,46,4,25,TRUE,15.2
"4974",1728601,"Raleigh Police Department","Safe Movement","White","Male",1,2002,19706367,27,4,26,FALSE,9.1
"4993",1728686,"Raleigh Police Department","Stop Light/Sign","Black","Female",1,2002,19775679,33,4,26,TRUE,3.9
"5006",1728746,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19660950,23,4,26,FALSE,16.6
"5011",1728767,"Raleigh Police Department","Driving Impaired","White","Female",1,2002,19692424,39,4,27,TRUE,15.9
"5018",1728794,"Raleigh Police Department","Driving Impaired","White","Female",1,2002,19692424,21,4,27,TRUE,2.9
"5021",1728810,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19767184,53,4,27,FALSE,2.4
"5055",1728967,"Raleigh Police Department","Investigation","Black","Male",1,2002,19732033,38,4,28,TRUE,3.1
"5057",1728972,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19745114,25,4,28,FALSE,4.6
"5068",1729017,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19731439,20,4,29,TRUE,14
"5129",1729216,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19714226,32,4,29,TRUE,7.9
"5141",1729249,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19678924,30,4,30,FALSE,3.3
"5265",1879503,"Raleigh Police Department","Safe Movement","Black","Male",1,2002,19684688,23,5,1,TRUE,23.9
"5288",1879591,"Raleigh Police Department","Stop Light/Sign","White","Male",1,2002,19757479,22,5,2,TRUE,3.6
"5349",1879797,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19742931,32,5,3,TRUE,1.4
"5437",1880059,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19730396,25,5,4,TRUE,5.1
"5461",1880140,"Raleigh Police Department","Investigation","Black","Male",1,2002,19746415,23,5,5,TRUE,21.3
"5609",1880710,"Raleigh Police Department","Vehicle Regulatory","White","Female",1,2002,19722042,35,5,7,TRUE,7.6
"5623",1880784,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19714226,30,5,7,TRUE,15.1
"5635",1880849,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19732033,29,5,8,TRUE,4.5
"5769",1881342,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19693587,19,5,9,FALSE,16.9
"5835",1881582,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19742931,27,5,11,TRUE,21.7
"5837",1881585,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19697097,20,5,11,TRUE,19.6
"5862",1881711,"Raleigh Police Department","Speed Limit","White","Female",1,2002,19732033,35,5,11,TRUE,3.3
"5879",1881757,"Raleigh Police Department","Driving Impaired","Other","Male",1,2002,19706188,33,5,12,TRUE,4.3
"5881",1881767,"Raleigh Police Department","Safe Movement","White","Female",1,2002,19714226,28,5,12,TRUE,8.7
"5884",1881777,"Raleigh Police Department","Investigation","White","Female",1,2002,19780513,42,5,12,TRUE,23.5
"5903",1881841,"Raleigh Police Department","Speed Limit","Black","Female",1,2002,19742931,20,5,12,TRUE,16.4
"5962",1882026,"Raleigh Police Department","Vehicle Regulatory","White","Female",1,2002,19729159,32,5,13,FALSE,24.3
"5971",1882052,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19723556,21,5,14,FALSE,5.9
"6064",1882387,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19767184,41,5,15,FALSE,0.6
"6122",1882633,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19731439,28,5,17,TRUE,6.9
"6364",1883486,"Raleigh Police Department","Investigation","White","Male",1,2002,19745877,50,5,20,FALSE,18.5
"6381",1883551,"Raleigh Police Department","Seat Belt","Black","Male",1,2002,19734155,59,5,21,TRUE,20.8
"6407",1883639,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19757479,33,5,21,TRUE,3.1
"6408",1883640,"Raleigh Police Department","Investigation","Black","Female",1,2002,19678924,20,5,21,FALSE,10.2
"6414",1883741,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19735279,21,5,21,TRUE,20.9
"6431",1883795,"Raleigh Police Department","Driving Impaired","White","Female",1,2002,19778104,53,5,22,TRUE,16.7
"6538",1884200,"Raleigh Police Department","Investigation","White","Male",1,2002,19776330,44,5,23,TRUE,2.2
"6620",1884468,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19735279,23,5,25,TRUE,9.7
"6673",1884617,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19643189,19,5,26,FALSE,19.7
"6679",1884648,"Raleigh Police Department","Driving Impaired","Black","Male",1,2002,19735279,26,5,27,TRUE,4
"6709",1884813,"Raleigh Police Department","Investigation","White","Male",1,2002,19746415,32,5,27,TRUE,20
"6710",1884814,"Raleigh Police Department","Seat Belt","White","Male",1,2002,19684688,23,5,27,TRUE,15.6
"6730",1884879,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19757479,23,5,27,TRUE,9.6
"6749",1884927,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19743851,22,5,28,FALSE,0.5
"6751",1884934,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19742931,26,5,28,TRUE,15.2
"6798",1885144,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19692424,27,5,28,TRUE,8.3
"6835",1885321,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19735279,35,5,30,TRUE,15.7
"6892",1954726,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19776330,19,6,1,TRUE,12.5
"6940",1954885,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19684688,53,6,1,TRUE,4.8
"7069",1955430,"Raleigh Police Department","Investigation","White","Male",1,2002,19670868,21,6,5,FALSE,1.2
"7070",1955436,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19699955,20,6,5,FALSE,8
"7098",1955581,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19735614,26,6,5,FALSE,2.6
"7105",1955600,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19737843,47,6,5,FALSE,11.8
"7112",1955659,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19745877,20,6,6,FALSE,23.4
"7133",1955736,"Raleigh Police Department","Vehicle Regulatory","White","Female",1,2002,19636584,34,6,6,FALSE,11.8
"7155",1955840,"Raleigh Police Department","Investigation","Black","Male",1,2002,19786618,21,6,7,TRUE,0
"7237",1956108,"Raleigh Police Department","Driving Impaired","White","Female",1,2002,19697097,27,6,9,TRUE,10
"7257",1956151,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19740760,40,6,9,FALSE,11.3
"7276",1956213,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19670128,25,6,10,TRUE,5.9
"7282",1956272,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19735614,34,6,10,FALSE,4.4
"7333",1956455,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19729159,37,6,11,FALSE,6.5
"7339",1956484,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19735614,39,6,12,FALSE,22.7
"7410",1956759,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19619819,28,6,13,TRUE,6.3
"7483",1956992,"Raleigh Police Department","Safe Movement","White","Male",1,2002,19693587,18,6,15,FALSE,5.2
"7624",1957607,"Raleigh Police Department","Investigation","Black","Female",1,2002,19678924,33,6,18,FALSE,8.2
"7646",1957683,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19684688,21,6,19,TRUE,7.4
"7669",1957777,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19744972,26,6,19,FALSE,6.7
"7757",1958109,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19752431,23,6,20,TRUE,7.6
"7805",1958283,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19754956,21,6,22,TRUE,12
